.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired	1	0.25	1	1	0.5	0.25	1	0.5	0.25	0.5	1
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R1_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R2_paired	1	0.25	1	1	0.25	0.25	1	0.5	0.25	1	1
