Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired - polya	(1, 0.0013292452711506065)	(2, 0.0031530014318661708)	(3, 0.0052062106453398755)	(4, 0.008291958596225212)	(5, 0.010218573021970288)	(6, 0.011907822220724184)	(7, 0.013442784021933813)	(8, 0.015250715834183299)	(9, 0.018364156394884274)	(10, 0.02775590720950195)	(15, 0.037153987763506056)	(20, 0.04522203182893626)	(25, 0.05446266011570289)	(30, 0.06295321428517739)	(35, 0.07018335909932871)	(40, 0.0777046719252559)	(45, 0.08453287828836883)	(50, 0.09126060003872219)	(55, 0.0967951659147332)	(60, 0.10223715935221764)	(65, 0.10846957899558271)	(70, 0.11434753323330762)	(75, 0.1198955498055148)	(80, 0.12489841757306556)	(85, 0.12996933003902048)	(90, 0.13550468713245478)	(95, 0.13964671034345086)	(100, 0.1437942720764101)	(105, 0.1476411711885138)	(110, 0.15118978133203193)	(115, 0.15464819268929345)	(120, 0.15753692750177611)	(125, 0.16012658212824987)	(130, 0.1622051102992693)	(135, 0.16429550673163829)	(140, 0.16549499234536705)
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0011551774380237415)	(4, 0.001958263122677233)	(5, 0.002508159231873466)	(6, 0.0028206901140785195)	(7, 0.0031609136060992103)	(8, 0.0033468497005756342)	(9, 0.004011472336150938)	(10, 0.006574225570232376)	(15, 0.010030263275223952)	(20, 0.013368409584143242)	(25, 0.01827474882605093)	(30, 0.023007020234831747)	(35, 0.029320144055373826)	(40, 0.03566966387738789)	(45, 0.03939234185403288)	(50, 0.04186331386701107)	(55, 0.045304318440959876)	(60, 0.04858074979086145)	(65, 0.05269745404431182)	(70, 0.055790322952006886)	(75, 0.05823360235516943)	(80, 0.06052734166532754)	(85, 0.06430144877448728)	(90, 0.06991355395798209)	(95, 0.07306101686788513)	(100, 0.07630026099889142)	(105, 0.0816259454751502)	(110, 0.09074472627872802)	(115, 0.09789258448085575)	(120, 0.09975985759985302)	(125, 0.10167460376424853)	(130, 0.10301967338386522)	(135, 0.10399366203195237)	(140, 0.1045039972699834)
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired - polya	(1, 0.001091880044159427)	(2, 0.00656314852630612)	(3, 0.007603599437950791)	(4, 0.008481850777818156)	(5, 0.00951043342811327)	(6, 0.010511323468592742)	(7, 0.011361882198644471)	(8, 0.012220353102929238)	(9, 0.013521905764264206)	(10, 0.01753654297010836)	(15, 0.023087724412008747)	(20, 0.02997289842959957)	(25, 0.037980809970858675)	(30, 0.047917709590132765)	(35, 0.058360988360321366)	(40, 0.06970071647111334)	(45, 0.08117257789159704)	(50, 0.09251309721981231)	(55, 0.10188585881627069)	(60, 0.11134881919898572)	(65, 0.12203104563101212)	(70, 0.13457421544264936)	(75, 0.14730885987072617)	(80, 0.1613031224367028)	(85, 0.17522459299973553)	(90, 0.18914289869307496)	(95, 0.20256511106200287)	(100, 0.21664798997938955)	(105, 0.23020945661481895)	(110, 0.2436000202868147)	(115, 0.25803499095757165)	(120, 0.2723742243201088)	(125, 0.28498781248242017)	(130, 0.2967793257419187)	(135, 0.30843316716976227)	(140, 0.31514981187618935)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired - polya	(1, 0.001056540628984336)	(2, 0.0025006154655111894)	(3, 0.0041690522116679205)	(4, 0.006755333133583246)	(5, 0.008717480015982727)	(6, 0.010561326982395544)	(7, 0.012466363560525603)	(8, 0.014236782992877733)	(9, 0.017018870672288224)	(10, 0.02711597246712231)	(15, 0.0366631836179908)	(20, 0.04419440102814865)	(25, 0.05269567774939713)	(30, 0.061812114033776254)	(35, 0.06927724666327947)	(40, 0.07644377398760258)	(45, 0.0830000369177324)	(50, 0.08923158697501608)	(55, 0.09407372491557363)	(60, 0.09963708441290506)	(65, 0.10538564446836732)	(70, 0.11048477877813727)	(75, 0.11547785109426403)	(80, 0.12060227711021046)	(85, 0.12622111518883214)	(90, 0.13280266982513847)	(95, 0.1375044795894911)	(100, 0.14195174056910012)	(105, 0.1465042476808627)	(110, 0.1504725979660981)	(115, 0.15427777595342082)	(120, 0.1582355200392919)	(125, 0.16137495505113106)	(130, 0.1641056434566991)	(135, 0.16689915319696344)	(140, 0.16837749421605194)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0017826573546955787)	(4, 0.0027494532198279634)	(5, 0.0033858251816872545)	(6, 0.003736645622199428)	(7, 0.004095624677607233)	(8, 0.004393414121297799)	(9, 0.005013468853365826)	(10, 0.007514900180366579)	(15, 0.010953756358875442)	(20, 0.014081769309860725)	(25, 0.018321801471120645)	(30, 0.022679317686877663)	(35, 0.02940527980683664)	(40, 0.03593135586185262)	(45, 0.039352263087591086)	(50, 0.041560800139838656)	(55, 0.04466678483060573)	(60, 0.04841077320621123)	(65, 0.052378307629957044)	(70, 0.05530398693153066)	(75, 0.05794656229622584)	(80, 0.06024647583530449)	(85, 0.0644579528444297)	(90, 0.0707172421923585)	(95, 0.07487895165062038)	(100, 0.07880569299988803)	(105, 0.08478024668795929)	(110, 0.09476639132021278)	(115, 0.10298619582756197)	(120, 0.10516780945065393)	(125, 0.10755502016911585)	(130, 0.10897543502244537)	(135, 0.11017311968912416)	(140, 0.11072872136351668)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired - polya	(1, 0.001178919852418815)	(2, 0.006808364130404853)	(3, 0.007970966753032405)	(4, 0.008901048851134446)	(5, 0.00980665510454959)	(6, 0.010720419972860367)	(7, 0.011617867611379881)	(8, 0.012478601482869051)	(9, 0.014049134850278198)	(10, 0.017969349307629345)	(15, 0.02315414907380344)	(20, 0.029388146715555806)	(25, 0.03654733128647283)	(30, 0.04520688513669657)	(35, 0.05433229589746089)	(40, 0.06449548247294959)	(45, 0.07488303095806818)	(50, 0.08530484562574843)	(55, 0.09423526549050713)	(60, 0.10294621861457336)	(65, 0.11202349354745347)	(70, 0.12313634289679372)	(75, 0.13480234633605784)	(80, 0.1472605512816878)	(85, 0.15930919375955704)	(90, 0.17137986449764453)	(95, 0.18332407670484968)	(100, 0.1970729745269686)	(105, 0.21069215037224703)	(110, 0.22398906092914794)	(115, 0.23816057500286064)	(120, 0.25372150119329945)	(125, 0.26704941448680375)	(130, 0.28027534509411267)	(135, 0.293629365955283)	(140, 0.30156280307979555)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired - polya	(1, 0.0015060334531318063)	(2, 0.0033069820733259768)	(3, 0.005009625637832693)	(4, 0.008194709442106226)	(5, 0.010318098644955248)	(6, 0.012119047265149419)	(7, 0.0138964026719786)	(8, 0.015756334325585243)	(9, 0.018599316536066435)	(10, 0.029353103187828484)	(15, 0.03902081558435553)	(20, 0.047605599487429574)	(25, 0.05714040344866718)	(30, 0.06582978393099269)	(35, 0.07301784960285937)	(40, 0.08107729128833965)	(45, 0.0883723128607943)	(50, 0.09501301598259324)	(55, 0.10064707533415265)	(60, 0.10677816504726782)	(65, 0.11340392580060228)	(70, 0.11964039853341439)	(75, 0.12539242395179875)	(80, 0.13116646970265708)	(85, 0.13652291557695512)	(90, 0.14297959163450716)	(95, 0.1478775427290789)	(100, 0.15231778548436986)	(105, 0.1567792621316893)	(110, 0.16062967455285554)	(115, 0.16452963272208823)	(120, 0.1684343095339939)	(125, 0.17155411878129095)	(130, 0.1743530603268242)	(135, 0.17699156802147548)	(140, 0.17860455737519523)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired - polya	(1, 0.0009319319279170708)	(2, 0.0061067100593046875)	(3, 0.007502641850066545)	(4, 0.008458166991348605)	(5, 0.00950806498609062)	(6, 0.010703454463250071)	(7, 0.011623589784484648)	(8, 0.012524064094581733)	(9, 0.014018300941031044)	(10, 0.01894928253431377)	(15, 0.024805118091504076)	(20, 0.03197824139490627)	(25, 0.04003846952083206)	(30, 0.049759659867653086)	(35, 0.059819806046484444)	(40, 0.07107455526202976)	(45, 0.0823041383833191)	(50, 0.09295490133672069)	(55, 0.10190223428517006)	(60, 0.11011424541707729)	(65, 0.11927077152402957)	(70, 0.1303265513068635)	(75, 0.1419737343047131)	(80, 0.15380573080725518)	(85, 0.1656825544151907)	(90, 0.17786923555865308)	(95, 0.18917824916493786)	(100, 0.20161816413185116)	(105, 0.21342499454013725)	(110, 0.22586333662615948)	(115, 0.23920293946272433)	(120, 0.25262983718873966)	(125, 0.26391683046255043)	(130, 0.2751951728914607)	(135, 0.2863909390735936)	(140, 0.29241428644567535)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired - polya	(1, 0.0007980762499541288)	(2, 0.002787800599154834)	(3, 0.004416750753170795)	(4, 0.007346674520125679)	(5, 0.00927444774490072)	(6, 0.01109653963977316)	(7, 0.012856680410219938)	(8, 0.014700637407830848)	(9, 0.017933028429334558)	(10, 0.028254085758650006)	(15, 0.03830838883455613)	(20, 0.04686420353611916)	(25, 0.05643893202529486)	(30, 0.06501442531932251)	(35, 0.07272843356545448)	(40, 0.0804730529554203)	(45, 0.08752965044588228)	(50, 0.09438071597060266)	(55, 0.10029303975108475)	(60, 0.10657123958405723)	(65, 0.11333776004485552)	(70, 0.1192333205799048)	(75, 0.12509243927705663)	(80, 0.13069792278244222)	(85, 0.1365672451942053)	(90, 0.14363185988900473)	(95, 0.14900775981563635)	(100, 0.15361400812587392)	(105, 0.15814081322949497)	(110, 0.16248613798038677)	(115, 0.16645173878038716)	(120, 0.1707023147527456)	(125, 0.1741978158438689)	(130, 0.1773726287614946)	(135, 0.1805540012099419)	(140, 0.18238046612536205)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007434134931079557)	(4, 0.001370213104944075)	(5, 0.0018075151597134608)	(6, 0.0020917614953135616)	(7, 0.0024634682418675394)	(8, 0.0027003401882009564)	(9, 0.0032469677566626886)	(10, 0.005776031306745636)	(15, 0.009186987333946845)	(20, 0.01249226203124545)	(25, 0.017222412590334305)	(30, 0.02149704017570505)	(35, 0.027943601299763744)	(40, 0.03466566271832715)	(45, 0.038252997240952005)	(50, 0.04069532921683903)	(55, 0.043854836562547836)	(60, 0.04734013393905984)	(65, 0.051618405708220336)	(70, 0.054663485682931154)	(75, 0.057082494882563804)	(80, 0.059633423535385234)	(85, 0.06400863059335293)	(90, 0.07012065564551304)	(95, 0.07404981460761596)	(100, 0.07793014150693632)	(105, 0.08407715072347798)	(110, 0.09503739788951468)	(115, 0.1040275992988153)	(120, 0.10628189139115149)	(125, 0.10889914418894626)	(130, 0.11069718447080638)	(135, 0.11206666873899251)	(140, 0.11278019992502457)
