Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	(1, 0.0023776083570283173)	(2, 0.002183760088318854)	(3, 0.0)	(4, 0.0)	(5, 0.0007556126392552555)	(6, 0.0)	(7, 3.956087116519663e-06)	(8, 0.0)	(9, 3.956087116519663e-06)	(10, 7.912174233039325e-07)	(15, 0.0007825140316475892)	(20, 0.0)	(25, 0.00013055087484514888)	(30, 0.0)	(35, 0.00039877358134518195)	(40, 5.063791509145168e-05)	(45, 0.0)	(50, 0.0005338636991955917)	(55, 0.0007260267573269147)	(60, 0.0)	(65, 0.0024536810696225405)	(70, 0.0016514650674052623)	(75, 0.0)	(80, 2.453068687125243e-06)	(85, 0.0)	(90, 3.3835599975946274e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 2.072411580387222e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0010180972979412265)	(130, 1.2763510654659607e-06)	(135, 0.0002851097981134778)	(140, 2.363281436362281e-05)	(145, 0.0)	(150, 0.0)
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	(1, 0.06729304185199945)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.956087116519663e-06)	(8, 7.912174233039325e-06)	(9, 0.0)	(10, 0.004508356877985807)	(15, 3.956087116519663e-06)	(20, 2.7692609815637638e-05)	(25, 5.61764370545792e-05)	(30, 0.03133458361510563)	(35, 1.7406783312686516e-05)	(40, 0.0)	(45, 0.0038967458097718677)	(50, 0.0024947305157703185)	(55, 8.355766577124681e-05)	(60, 5.9145682970587125e-05)	(65, 0.0006089190151527007)	(70, 0.0010362482298200701)	(75, 0.000698553250571646)	(80, 4.284803682531677e-05)	(85, 0.0009611691594675334)	(90, 0.000622503524648305)	(95, 0.0011066007812231768)	(100, 0.0006230401260281553)	(105, 0.0022735316249967072)	(110, 0.0)	(115, 1.0673929948662878e-06)	(120, 0.0)	(125, 9.516254268604306e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 4.99765160351151e-06)	(150, 0.0)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	(1, 0.002312967322911655)	(2, 0.0022150639441640713)	(3, 0.0)	(4, 0.0)	(5, 0.0008688924863848015)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 4.079307447815969e-06)	(10, 4.895168937379164e-06)	(15, 0.0007815953070015397)	(20, 0.0)	(25, 0.0001476709296109381)	(30, 0.0)	(35, 0.0003663218088138741)	(40, 5.303099682160761e-05)	(45, 0.0)	(50, 0.0005153231586219318)	(55, 0.0007098316406250288)	(60, 0.0)	(65, 0.0024388061182811583)	(70, 0.0017230039086488283)	(75, 0.0)	(80, 1.6721563000612245e-06)	(85, 0.0)	(90, 3.4243119074222896e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.3531238914049261e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0010197961215897143)	(130, 1.2026349587630303e-06)	(135, 0.00029419660611725305)	(140, 1.3642800247507682e-05)	(145, 0.0)	(150, 0.0)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	(1, 0.06840182728497818)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0045263995440966)	(15, 4.079307447815969e-06)	(20, 2.3659983197332623e-05)	(25, 4.895168937379164e-05)	(30, 0.03157220792311648)	(35, 1.5501368301700684e-05)	(40, 0.0)	(45, 0.0039895626839640186)	(50, 0.002551576966480882)	(55, 6.970247857831676e-05)	(60, 7.901347527906633e-05)	(65, 0.0005635981460926554)	(70, 0.0009980054421186942)	(75, 0.0006481611209605802)	(80, 2.2723753032158716e-05)	(85, 0.0008662280602854567)	(90, 0.0006324053084930979)	(95, 0.0010123673067355286)	(100, 0.000656054749701638)	(105, 0.0022149908492661483)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.00010413980365967403)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 6.068536350350682e-06)	(150, 0.0)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	(1, 0.002331795920906426)	(2, 0.001958236709294098)	(3, 0.0)	(4, 0.0)	(5, 0.0008021692544096306)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 3.932202227498189e-06)	(10, 5.505083118497465e-06)	(15, 0.0007439726614426573)	(20, 0.0)	(25, 0.000145491482417433)	(30, 0.0)	(35, 0.00041052191255081097)	(40, 5.741015252147356e-05)	(45, 0.0)	(50, 0.0005644655297905776)	(55, 0.0006780640256943798)	(60, 0.0)	(65, 0.002382853983864495)	(70, 0.0017374593286270399)	(75, 0.0)	(80, 8.098259748766068e-07)	(85, 0.0)	(90, 4.167146548317926e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.42914673499233e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0010122552271856645)	(130, 3.5738830632609466e-06)	(135, 0.0003508263765961571)	(140, 2.0248320270219504e-05)	(145, 0.0)	(150, 0.0)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	(1, 0.0660020143885571)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.932202227498189e-06)	(9, 0.0)	(10, 0.0046384257475568635)	(15, 3.932202227498189e-06)	(20, 2.044745158299058e-05)	(25, 4.2467784056980445e-05)	(30, 0.03152603813874398)	(35, 1.4942368464493117e-05)	(40, 0.0)	(45, 0.0038401886953747313)	(50, 0.002430796901791024)	(55, 8.06792401043847e-05)	(60, 6.752370453409522e-05)	(65, 0.0005947450973604909)	(70, 0.001039078939870959)	(75, 0.0006780341437281566)	(80, 3.1856644446521024e-05)	(85, 0.0009316238601375043)	(90, 0.000595395643567663)	(95, 0.0010905591213590882)	(100, 0.0006299367388260688)	(105, 0.002283866057160377)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 8.64823507913948e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 6.050710307253406e-06)	(150, 0.0)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	(1, 0.002273970684800805)	(2, 0.0020589638412058576)	(3, 0.0)	(4, 0.0)	(5, 0.0007434134931079556)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 7.288367579489761e-06)	(10, 1.4576735158979521e-06)	(15, 0.0007419558195920577)	(20, 7.288367579489761e-07)	(25, 0.00012681759588312183)	(30, 0.0)	(35, 0.00040231789038783477)	(40, 4.373020547693857e-05)	(45, 0.0)	(50, 0.0005560321962781394)	(55, 0.0006762629254045106)	(60, 0.0)	(65, 0.002295042074555304)	(70, 0.0015576073874238705)	(75, 0.0)	(80, 1.5015126275748005e-06)	(85, 0.0)	(90, 7.710317927403625e-07)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.9171646988525095e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0008677424218476587)	(130, 2.13933394255146e-06)	(135, 0.00023890122104791768)	(140, 1.4413933257411142e-05)	(145, 0.0)	(150, 0.0)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	(1, 0.06638245191399275)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.6441837897448805e-06)	(8, 0.0)	(9, 0.0)	(10, 0.004644876658408825)	(15, 5.1018573056428335e-06)	(20, 2.5509286528214166e-05)	(25, 4.591671575078549e-05)	(30, 0.03149084980070141)	(35, 1.2390224885132594e-05)	(40, 0.0)	(45, 0.0038416985511490528)	(50, 0.0024460299223161477)	(55, 9.224130087115979e-05)	(60, 6.317411602497914e-05)	(65, 0.0005796587137638634)	(70, 0.0010626467535359886)	(75, 0.00072563706011777)	(80, 3.458478425274777e-05)	(85, 0.0009698824125973349)	(90, 0.0005680341231622405)	(95, 0.0011232603505321134)	(100, 0.0005780793840206923)	(105, 0.002322949016986071)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 8.863045290202183e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 6.502178541916112e-06)	(150, 0.0)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	(1, 0.002328152993934394)	(2, 0.001978503643196994)	(3, 0.0)	(4, 0.0)	(5, 0.0007675229650333167)	(6, 0.0)	(7, 4.264016472407315e-06)	(8, 0.0)	(9, 8.52803294481463e-06)	(10, 1.705606588962926e-06)	(15, 0.000747908489260243)	(20, 0.0)	(25, 0.00012536208428877505)	(30, 0.0)	(35, 0.00039825913852284324)	(40, 5.457941084681363e-05)	(45, 0.0)	(50, 0.0005609359348409304)	(55, 0.0006850603310369083)	(60, 0.0)	(65, 0.0023580798199151517)	(70, 0.0017133771972340076)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.720619871835588e-06)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.8750781673211e-05)	(115, 0.0)	(120, 0.0)	(125, 0.001001075786615025)	(130, 2.628510610843918e-06)	(135, 0.000322492120395787)	(140, 1.3497239207206362e-05)	(145, 0.0)	(150, 0.0)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	(1, 0.06753775690645947)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.264016472407315e-06)	(9, 0.0)	(10, 0.00463413310221227)	(15, 2.558409883444389e-06)	(20, 2.4731295539962424e-05)	(25, 4.1787361429591684e-05)	(30, 0.0313848668435068)	(35, 1.2792049417221944e-05)	(40, 0.0)	(45, 0.003906691892019582)	(50, 0.0024773849172297245)	(55, 9.256463115385737e-05)	(60, 7.140977443398785e-05)	(65, 0.0005738056328649665)	(70, 0.0011069077962487539)	(75, 0.0007061496181410624)	(80, 3.3560251859445494e-05)	(85, 0.0009531947799831782)	(90, 0.000632559057955863)	(95, 0.001127126610337751)	(100, 0.0005999827046786256)	(105, 0.0023657513875327612)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.00010506688295101454)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 8.288216427211806e-06)	(150, 0.0)
