Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	(1, 21.331493238532826)	(2, 35.76640737680488)	(3, 36.100989330353926)	(4, 36.2434418559239)	(5, 36.32570239733341)	(6, 36.32591226775494)	(7, 36.27244737237089)	(8, 36.38305058783103)	(9, 36.36242635842735)	(10, 36.44321855063051)	(15, 36.451534688831195)	(20, 36.449111229424496)	(25, 36.38048888691612)	(30, 36.37257355572556)	(35, 36.366158190789584)	(40, 36.339518200809565)	(45, 36.33228735972408)	(50, 36.28893275296012)	(55, 36.3074611679594)	(60, 36.32175243481959)	(65, 36.29041831261232)	(70, 36.28209280919175)	(75, 36.2682663759732)	(80, 36.25424432202251)	(85, 36.24596542342931)	(90, 36.2198226627848)	(95, 36.20289680583405)	(100, 36.15035839330766)	(105, 36.164652999105115)	(110, 36.11198816477709)	(115, 36.104395961228995)	(120, 36.04975771704007)	(125, 36.037342545100145)	(130, 36.01109775216662)	(135, 35.96483389976172)	(140, 35.92955628644596)	(145, 35.949559197202156)	(150, 36.142753315361944)
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	(1, 17.665343434647934)	(2, 36.089592555466915)	(3, 36.03753274354404)	(4, 36.14049038548192)	(5, 36.16010078844025)	(6, 36.21233466819625)	(7, 36.214369798091596)	(8, 36.20538572205434)	(9, 36.30702416718234)	(10, 36.29435706107352)	(15, 36.28899176034088)	(20, 36.271154238262945)	(25, 36.27204636755641)	(30, 36.20377307061434)	(35, 36.2021106515984)	(40, 36.148605981714496)	(45, 36.124913063007575)	(50, 36.08453738489402)	(55, 36.07977949402452)	(60, 36.06399350016379)	(65, 36.05030924458039)	(70, 36.03174440447327)	(75, 35.994993112452065)	(80, 35.99517866233519)	(85, 35.93705484352772)	(90, 35.91494567197121)	(95, 35.8958017376858)	(100, 35.80780020033016)	(105, 35.75484763119694)	(110, 35.76436105785017)	(115, 35.704241595155054)	(120, 35.67055337117382)	(125, 35.594964305386625)	(130, 35.58114617920147)	(135, 35.47193321208919)	(140, 35.36604996741453)	(145, 35.31389459773935)	(150, 35.775906510881974)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	(1, 21.21543585462409)	(2, 35.765137871413295)	(3, 36.12757589398532)	(4, 36.25904846482403)	(5, 36.345998780695005)	(6, 36.34293069277043)	(7, 36.2886539570404)	(8, 36.39625197311002)	(9, 36.37496545336505)	(10, 36.45669304822782)	(15, 36.4683673897715)	(20, 36.46520723187783)	(25, 36.39664055977888)	(30, 36.38810282220767)	(35, 36.38048722024364)	(40, 36.35599182751546)	(45, 36.343733908406904)	(50, 36.30522344840487)	(55, 36.319309205874035)	(60, 36.335896538603706)	(65, 36.301649463732666)	(70, 36.290131120038836)	(75, 36.268920843756234)	(80, 36.25313651243526)	(85, 36.246856668557726)	(90, 36.21033129041591)	(95, 36.19350741485277)	(100, 36.13295561779202)	(105, 36.15085239337445)	(110, 36.08898234909109)	(115, 36.086816500314434)	(120, 36.02197466184337)	(125, 36.01319319619402)	(130, 35.984777902350466)	(135, 35.9401561300557)	(140, 35.90283409669844)	(145, 35.925017589190716)	(150, 36.13299140031779)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	(1, 17.822185558313393)	(2, 36.08979734612495)	(3, 36.03496117417154)	(4, 36.15624469562553)	(5, 36.18265453997344)	(6, 36.22873137821646)	(7, 36.22408521020569)	(8, 36.210947800570004)	(9, 36.301916519828595)	(10, 36.297460643351656)	(15, 36.292539309736306)	(20, 36.27393099402728)	(25, 36.27353875229895)	(30, 36.207842697009646)	(35, 36.207685961858886)	(40, 36.155152077601485)	(45, 36.1298647444426)	(50, 36.09539805530053)	(55, 36.08889966167382)	(60, 36.07507980274799)	(65, 36.0618178576051)	(70, 36.04321641449569)	(75, 36.00979337728192)	(80, 36.00929850172556)	(85, 35.95271055387993)	(90, 35.93358557259717)	(95, 35.91605844847745)	(100, 35.83054816931688)	(105, 35.78009998350051)	(110, 35.78888580271845)	(115, 35.73464496410964)	(120, 35.699998598625676)	(125, 35.6248335065569)	(130, 35.6130501144812)	(135, 35.50799621656061)	(140, 35.4055852885794)	(145, 35.35820432280957)	(150, 35.80105469458075)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	(1, 21.471220133252896)	(2, 35.73706307433254)	(3, 36.09710180180584)	(4, 36.23893515649103)	(5, 36.32363958975806)	(6, 36.32428572922808)	(7, 36.27000875544148)	(8, 36.38130572864454)	(9, 36.366498116750385)	(10, 36.45099868892514)	(15, 36.46078407640552)	(20, 36.4598028975769)	(25, 36.39325670572209)	(30, 36.385814234430505)	(35, 36.380540065955614)	(40, 36.35515824322103)	(45, 36.34923034612581)	(50, 36.30672047580316)	(55, 36.324792881200466)	(60, 36.33830429390548)	(65, 36.305743978646355)	(70, 36.29701026576806)	(75, 36.280273246571305)	(80, 36.26936649561283)	(85, 36.25885512398223)	(90, 36.235130492792855)	(95, 36.21204107256733)	(100, 36.16255066548055)	(105, 36.1743108460868)	(110, 36.12460717387546)	(115, 36.11543226021847)	(120, 36.0608489335443)	(125, 36.04674839719765)	(130, 36.021814064016915)	(135, 35.97545174637437)	(140, 35.93899497144912)	(145, 35.95657837310916)	(150, 36.14413465589472)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	(1, 17.691935273434726)	(2, 36.09660768127393)	(3, 35.99122741411854)	(4, 36.084336379138534)	(5, 36.12374042715198)	(6, 36.17409353497981)	(7, 36.17281847908552)	(8, 36.16296764403126)	(9, 36.26951463490957)	(10, 36.2587152818984)	(15, 36.25913567363854)	(20, 36.24113275421432)	(25, 36.24233732931588)	(30, 36.17087527125314)	(35, 36.17195919066155)	(40, 36.116997518229894)	(45, 36.09057707505654)	(50, 36.05389161826734)	(55, 36.05036773047883)	(60, 36.034916901484976)	(65, 36.019937619143775)	(70, 36.001803610555825)	(75, 35.9630637294027)	(80, 35.96032213155912)	(85, 35.89975288645316)	(90, 35.8753209202621)	(95, 35.8531042449765)	(100, 35.76199833161137)	(105, 35.704629262234945)	(110, 35.71156898624584)	(115, 35.647976267612194)	(120, 35.611167086684354)	(125, 35.53439273262923)	(130, 35.52045928911848)	(135, 35.408609715634206)	(140, 35.30553905887402)	(145, 35.25602690289152)	(150, 35.74514109055603)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	(1, 19.498385207500007)	(2, 35.721234225284974)	(3, 35.98940748742019)	(4, 36.122807936901104)	(5, 36.22435756410657)	(6, 36.22099791818712)	(7, 36.17371055202934)	(8, 36.280911360804915)	(9, 36.265657098995746)	(10, 36.35984167041805)	(15, 36.370152524032754)	(20, 36.368338165095885)	(25, 36.29500091232141)	(30, 36.28225830944054)	(35, 36.27796031534872)	(40, 36.24613944826402)	(45, 36.237694227252106)	(50, 36.187951044754406)	(55, 36.210212829895966)	(60, 36.22218052065373)	(65, 36.18748099024084)	(70, 36.17280288892806)	(75, 36.15054391033579)	(80, 36.136268627639666)	(85, 36.12470471851081)	(90, 36.092549442753366)	(95, 36.06410076631488)	(100, 36.00732151485306)	(105, 36.014526489630725)	(110, 35.95448537397632)	(115, 35.938936181463006)	(120, 35.8707859160389)	(125, 35.852226714734954)	(130, 35.82678280277438)	(135, 35.764638517625265)	(140, 35.72719086076565)	(145, 35.75139600020846)	(150, 36.007516492913155)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	(1, 18.75172766198242)	(2, 36.02169976611993)	(3, 36.09285281903308)	(4, 36.2322826434778)	(5, 36.26065669576681)	(6, 36.30622823442903)	(7, 36.304954264217976)	(8, 36.308654386228895)	(9, 36.39775744946783)	(10, 36.39538974308759)	(15, 36.38798264800023)	(20, 36.372404330791746)	(25, 36.37239405419346)	(30, 36.30755204249759)	(35, 36.30748395456767)	(40, 36.25725436916682)	(45, 36.23542159033857)	(50, 36.20171512802369)	(55, 36.19472456217953)	(60, 36.18080650066979)	(65, 36.16228869260935)	(70, 36.14556827869034)	(75, 36.10837966252124)	(80, 36.116510992662924)	(85, 36.06018557064088)	(90, 36.040273634499194)	(95, 36.022492396680704)	(100, 35.941153895476226)	(105, 35.890252733867534)	(110, 35.896736152894384)	(115, 35.83976394326574)	(120, 35.80533491005868)	(125, 35.73218399228252)	(130, 35.71466012037266)	(135, 35.612207558236115)	(140, 35.507136844702245)	(145, 35.45573509231796)	(150, 35.85259475621548)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	(1, 20.34196529457297)	(2, 35.77449087963121)	(3, 36.079580661269645)	(4, 36.21092294338064)	(5, 36.29818288511627)	(6, 36.29372707318293)	(7, 36.239201261023176)	(8, 36.34569204496985)	(9, 36.32845177356862)	(10, 36.409780178438)	(15, 36.42185453418669)	(20, 36.42016778307856)	(25, 36.346603956060676)	(30, 36.336652551777206)	(35, 36.33080961264523)	(40, 36.29958922597313)	(45, 36.296959999304114)	(50, 36.247757393704006)	(55, 36.26871046776048)	(60, 36.28309651116628)	(65, 36.25124915625547)	(70, 36.23967661545264)	(75, 36.22214542775728)	(80, 36.20660848485734)	(85, 36.19450493218922)	(90, 36.1662199355672)	(95, 36.1434575463541)	(100, 36.08905189340606)	(105, 36.101043161595)	(110, 36.04936132245851)	(115, 36.03787851648349)	(120, 35.981240778311744)	(125, 35.96872521391206)	(130, 35.945510472604916)	(135, 35.89516928629882)	(140, 35.86004652972001)	(145, 35.88099757157041)	(150, 36.09476289398767)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	(1, 17.942754811334968)	(2, 36.11663257656564)	(3, 36.08751608120512)	(4, 36.22509406100537)	(5, 36.244859482961566)	(6, 36.29156700771834)	(7, 36.28837044512964)	(8, 36.28028650950042)	(9, 36.37148567757375)	(10, 36.36274921950376)	(15, 36.35826723503733)	(20, 36.34137905200424)	(25, 36.34073203014473)	(30, 36.27689812586669)	(35, 36.27607198973123)	(40, 36.2244128587898)	(45, 36.20216945482886)	(50, 36.16640186570513)	(55, 36.1613911541903)	(60, 36.14467288258689)	(65, 36.13034159719663)	(70, 36.11116849856887)	(75, 36.07728370098857)	(80, 36.082299480427935)	(85, 36.02645798179704)	(90, 36.00364058925218)	(95, 35.98727962070471)	(100, 35.9019485379984)	(105, 35.849054372480495)	(110, 35.85398085303379)	(115, 35.79508105208629)	(120, 35.761589548788756)	(125, 35.687123313326566)	(130, 35.673245793050626)	(135, 35.56917578834911)	(140, 35.46190397761889)	(145, 35.40929039588697)	(150, 35.83733597075816)
