Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	(25.0, 1.0)	(26.0, 53.0)	(27.0, 714.0)	(28.0, 5165.0)	(29.0, 25918.0)	(30.0, 88152.0)	(31.0, 229256.0)	(32.0, 464089.0)	(33.0, 841920.0)	(34.0, 1460340.0)	(35.0, 3314416.0)	(36.0, 17695156.0)	(37.0, 1152322.0)		
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	(24.0, 1.0)	(25.0, 33.0)	(26.0, 402.0)	(27.0, 3178.0)	(28.0, 15273.0)	(29.0, 53910.0)	(30.0, 146336.0)	(31.0, 331014.0)	(32.0, 630113.0)	(33.0, 1122290.0)	(34.0, 2006204.0)	(35.0, 5026777.0)	(36.0, 15529411.0)	(37.0, 412560.0)	
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	(25.0, 3.0)	(26.0, 57.0)	(27.0, 713.0)	(28.0, 4846.0)	(29.0, 24497.0)	(30.0, 84192.0)	(31.0, 218835.0)	(32.0, 445806.0)	(33.0, 811112.0)	(34.0, 1425327.0)	(35.0, 3273709.0)	(36.0, 17254039.0)	(37.0, 970829.0)		
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	(23.0, 1.0)	(24.0, 2.0)	(25.0, 28.0)	(26.0, 467.0)	(27.0, 3245.0)	(28.0, 14561.0)	(29.0, 51216.0)	(30.0, 138622.0)	(31.0, 316369.0)	(32.0, 607331.0)	(33.0, 1086951.0)	(34.0, 1940510.0)	(35.0, 4814627.0)	(36.0, 15170785.0)	(37.0, 369250.0)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	(25.0, 2.0)	(26.0, 50.0)	(27.0, 698.0)	(28.0, 4974.0)	(29.0, 25439.0)	(30.0, 85868.0)	(31.0, 222746.0)	(32.0, 454481.0)	(33.0, 826900.0)	(34.0, 1446952.0)	(35.0, 3315709.0)	(36.0, 17907060.0)	(37.0, 1140163.0)		
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	(24.0, 1.0)	(25.0, 49.0)	(26.0, 536.0)	(27.0, 3799.0)	(28.0, 16912.0)	(29.0, 59602.0)	(30.0, 158431.0)	(31.0, 355732.0)	(32.0, 670353.0)	(33.0, 1189586.0)	(34.0, 2124854.0)	(35.0, 5322797.0)	(36.0, 15156736.0)	(37.0, 371654.0)	
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	(25.0, 3.0)	(26.0, 84.0)	(27.0, 913.0)	(28.0, 6496.0)	(29.0, 33132.0)	(30.0, 112345.0)	(31.0, 291477.0)	(32.0, 592115.0)	(33.0, 1074302.0)	(34.0, 1889217.0)	(35.0, 4451490.0)	(36.0, 18292839.0)	(37.0, 696574.0)		
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	(24.0, 3.0)	(25.0, 31.0)	(26.0, 316.0)	(27.0, 2373.0)	(28.0, 11018.0)	(29.0, 40273.0)	(30.0, 115102.0)	(31.0, 276111.0)	(32.0, 559765.0)	(33.0, 1055390.0)	(34.0, 1961582.0)	(35.0, 4882168.0)	(36.0, 17953562.0)	(37.0, 583293.0)	
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	(25.0, 5.0)	(26.0, 62.0)	(27.0, 734.0)	(28.0, 5287.0)	(29.0, 26446.0)	(30.0, 89810.0)	(31.0, 230966.0)	(32.0, 465359.0)	(33.0, 832023.0)	(34.0, 1438140.0)	(35.0, 3328537.0)	(36.0, 16289834.0)	(37.0, 744864.0)		
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	(25.0, 30.0)	(26.0, 318.0)	(27.0, 2349.0)	(28.0, 10874.0)	(29.0, 39711.0)	(30.0, 110360.0)	(31.0, 259588.0)	(32.0, 507882.0)	(33.0, 934658.0)	(34.0, 1710061.0)	(35.0, 4347773.0)	(36.0, 15086523.0)	(37.0, 441940.0)		
