Sample	Unique Reads	Duplicate Reads
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	5892411.0	19385091.0
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	6640854.0	18636648.0
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	5958376.0	18555589.0
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	6586261.0	17927704.0
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	6271775.0	19159267.0
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	6982227.0	18448815.0
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	7449799.0	19991188.0
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	7668040.0	19772947.0
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	5627005.0	17825062.0
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	6055486.0	17396581.0
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired	6282646.0	16326407.0
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired	6760913.0	15848140.0
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	5812388.0	16141936.0
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	6243967.0	15710357.0
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	5789047.0	19152175.0
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	6055605.0	18885617.0
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired	4850782.0	13357662.0
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired	4550709.0	13657735.0
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired	4191444.0	13801020.0
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired	4743158.0	13249306.0
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired	6311601.0	18413431.0
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R2_paired	6915241.0	17809791.0
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R1_paired	5013770.0	17536285.0
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R2_paired	5759531.0	16790524.0
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired	5484511.0	16037072.0
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R2_paired	6071343.0	15450240.0
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R1_paired	5599596.0	16069410.0
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R2_paired	6184066.0	15484940.0
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R1_paired	3383462.0	13823651.0
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired	3966213.0	13240900.0
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired	5259166.0	16641641.0
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R2_paired	5821680.0	16079127.0
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired	5672686.0	15805903.0
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R2_paired	5245016.0	16233573.0
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R1_paired	4710863.0	13810547.0
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R2_paired	4984060.0	13537350.0
