Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	(1.0, 15.832393307010284)	(2.0, 7.143474548301144)	(3.0, 3.885177617279928)	(4.0, 2.532183301915715)	(5.0, 1.888290053832199)	(6.0, 1.4658188530428302)	(7.0, 1.1851101815730167)	(8.0, 1.0368405016846005)	(9.0, 0.9627229357874908)	('>10', 14.712458588138217)	('>50', 7.153088935493615)	('>100', 19.467184576050613)	('>500', 8.504478946789526)	('>1k', 12.108361062778123)	('>5k', 1.6405537082732042)	('>10k+', 0.481862882049632)
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	(1.0, 18.68746521895957)	(2.0, 7.36305620639677)	(3.0, 3.8556394683603417)	(4.0, 2.4624092107945987)	(5.0, 1.771824980870918)	(6.0, 1.4163258038321913)	(7.0, 1.16956901014967)	(8.0, 1.0324676721125081)	(9.0, 0.9232054076842754)	('>10', 15.603598934654197)	('>50', 8.685376810461754)	('>100', 22.22901573415265)	('>500', 7.620910930118095)	('>1k', 6.757328438353709)	('>5k', 0.32782913177845346)	('>10k+', 0.09397704132019843)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	(1.0, 17.154799499904435)	(2.0, 6.86602633272156)	(3.0, 3.579760505842859)	(4.0, 2.4068226465784015)	(5.0, 1.7274917729819088)	(6.0, 1.377467211260012)	(7.0, 1.2031191126452792)	(8.0, 1.0085871279380023)	(9.0, 0.9072821753597112)	('>10', 14.643397753829927)	('>50', 7.103784004941216)	('>100', 20.12678348935776)	('>500', 8.377664880866284)	('>1k', 11.450534576728074)	('>5k', 1.6915751404538235)	('>10k+', 0.37490376859107505)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	(1.0, 19.73359100764004)	(2.0, 6.835064720554923)	(3.0, 3.5216930402871043)	(4.0, 2.2790031496622123)	(5.0, 1.6893625648019484)	(6.0, 1.4006099360317803)	(7.0, 1.1462262754657873)	(8.0, 0.9534262302613046)	(9.0, 0.8666959671059343)	('>10', 15.850750580832862)	('>50', 8.716505953530582)	('>100', 22.389755088454656)	('>500', 7.445720852739759)	('>1k', 6.867797682796334)	('>5k', 0.2513599138952884)	('>10k+', 0.05243703593947794)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	(1.0, 17.214653960696598)	(2.0, 7.124606621295284)	(3.0, 3.797994789722029)	(4.0, 2.455024476170071)	(5.0, 1.824942108719755)	(6.0, 1.479289934540158)	(7.0, 1.2583461891462961)	(8.0, 1.0535511072383132)	(9.0, 0.9313123804371767)	('>10', 15.267582649722005)	('>50', 7.350006951500338)	('>100', 19.54106119788735)	('>500', 7.913707757121681)	('>1k', 10.884165052944459)	('>5k', 1.4857453203384543)	('>10k+', 0.41800950252002395)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	(1.0, 19.96014479968039)	(2.0, 7.1558406799879615)	(3.0, 3.6734067032370024)	(4.0, 2.390008143787523)	(5.0, 1.810849327372718)	(6.0, 1.4694003526335446)	(7.0, 1.238165847441444)	(8.0, 1.081641649868991)	(9.0, 0.9813920881618375)	('>10', 16.688311223186577)	('>50', 9.064383944467073)	('>100', 21.308553113142104)	('>500', 6.895222743071703)	('>1k', 5.961987020671198)	('>5k', 0.2604135023181664)	('>10k+', 0.06027886097160633)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	(1.0, 19.69783053168387)	(2.0, 7.018932838891279)	(3.0, 3.803256451932132)	(4.0, 2.4811308975487423)	(5.0, 1.8293662204861874)	(6.0, 1.4926831974344332)	(7.0, 1.2706363479216778)	(8.0, 1.1334048332230018)	(9.0, 0.9485453386701265)	('>10', 15.810249488697414)	('>50', 7.382292491246516)	('>100', 19.70103687429285)	('>500', 7.645885757609322)	('>1k', 8.692428182393778)	('>5k', 0.970448218826696)	('>10k+', 0.12187232914181315)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	(1.0, 20.443126399680867)	(2.0, 7.1449883238596525)	(3.0, 3.572603914728594)	(4.0, 2.496680256364357)	(5.0, 1.8522955268676515)	(6.0, 1.503315202452542)	(7.0, 1.2962821214233076)	(8.0, 1.098622805191834)	(9.0, 0.9850088333529664)	('>10', 16.65675587273437)	('>50', 8.60024409156531)	('>100', 21.17469080880639)	('>500', 6.698060426106328)	('>1k', 6.125596457420795)	('>5k', 0.20065568395823918)	('>10k+', 0.1510732754870462)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	(1.0, 16.367063222888746)	(2.0, 7.28790246668313)	(3.0, 4.025649919369297)	(4.0, 2.5490298502147257)	(5.0, 1.8496312396155452)	(6.0, 1.459860578676894)	(7.0, 1.251814110984022)	(8.0, 1.0467138340970608)	(9.0, 0.950528483982574)	('>10', 15.138174194631635)	('>50', 7.304948197644805)	('>100', 19.859462948324868)	('>500', 8.113312389137114)	('>1k', 10.480883594822137)	('>5k', 1.8897490031030393)	('>10k+', 0.425275965824158)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	(1.0, 18.285729117966007)	(2.0, 7.117309286776333)	(3.0, 3.857143651201813)	(4.0, 2.4459203144606656)	(5.0, 1.863633771040163)	(6.0, 1.4625416250189531)	(7.0, 1.2031228561225453)	(8.0, 1.0560759539783435)	(9.0, 0.9434171581021323)	('>10', 16.348451372082202)	('>50', 8.84341277605129)	('>100', 21.706114015719148)	('>500', 7.383674035419922)	('>1k', 7.075151313951316)	('>5k', 0.2968300910390878)	('>10k+', 0.11147266107020525)
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired	(1.0, 20.233486678342064)	(2.0, 7.294981402649856)	(3.0, 3.787438845803554)	(4.0, 2.4400430484898683)	(5.0, 1.8680938832422889)	(6.0, 1.4676998189061086)	(7.0, 1.2793760060121844)	(8.0, 1.1138581352192496)	(9.0, 0.9826535060450534)	('>10', 15.310970605427512)	('>50', 7.516476352190042)	('>100', 19.432494273533184)	('>500', 7.396063939055396)	('>1k', 8.405654520177674)	('>5k', 1.135124766441598)	('>10k+', 0.3355842184640966)
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired	(1.0, 22.374237681707886)	(2.0, 7.30139062445287)	(3.0, 3.6611848212186557)	(4.0, 2.359895056131522)	(5.0, 1.7991413086943957)	(6.0, 1.4597932087827477)	(7.0, 1.2259479914064544)	(8.0, 1.0689954231883636)	(9.0, 0.9207140658168038)	('>10', 16.552734118767358)	('>50', 8.88277660465788)	('>100', 20.806502903937226)	('>500', 6.115744022830221)	('>1k', 5.197134835472997)	('>5k', 0.27380733293482457)	('>10k+', 0.0)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	(1.0, 19.47778030051349)	(2.0, 6.581157212561281)	(3.0, 3.4722819421301954)	(4.0, 2.295239938809145)	(5.0, 1.7681150145329085)	(6.0, 1.4329452189688883)	(7.0, 1.1907291116621195)	(8.0, 1.1056369317414438)	(9.0, 0.9464336867169684)	('>10', 15.06176343683389)	('>50', 7.298578251092974)	('>100', 19.211438619787323)	('>500', 7.807381290311727)	('>1k', 10.120333717265558)	('>5k', 1.6324518188605721)	('>10k+', 0.5977335082114118)
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	(1.0, 21.379940315096988)	(2.0, 6.497037730386829)	(3.0, 3.481148592046115)	(4.0, 2.336805194097799)	(5.0, 1.7895843453664992)	(6.0, 1.4694134151293745)	(7.0, 1.2088640929995456)	(8.0, 1.0479596229066384)	(9.0, 0.9240370386046662)	('>10', 16.701899611881878)	('>50', 8.642999424477791)	('>100', 20.720406578570728)	('>500', 6.795722064562115)	('>1k', 6.601112158769077)	('>5k', 0.34533109797256534)	('>10k+', 0.057738717131391136)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	(1.0, 16.979025370603317)	(2.0, 5.695969821229937)	(3.0, 3.0947474719628083)	(4.0, 2.0618157379782995)	(5.0, 1.5987285100869502)	(6.0, 1.277444148565321)	(7.0, 1.1629399872113888)	(8.0, 0.919329039304544)	(9.0, 0.834676385615892)	('>10', 14.220775319115358)	('>50', 7.304660487686214)	('>100', 21.22001361600076)	('>500', 9.180219767917084)	('>1k', 12.560892799932358)	('>5k', 1.358868010550274)	('>10k+', 0.5298935262396076)
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	(1.0, 18.075112725007937)	(2.0, 5.816567654990359)	(3.0, 2.9419887404493994)	(4.0, 1.9786335409126503)	(5.0, 1.4912466531296358)	(6.0, 1.198401085232752)	(7.0, 1.0169677102732129)	(8.0, 0.9901374059307512)	(9.0, 0.8288817808904694)	('>10', 14.593027722997679)	('>50', 8.756087296037043)	('>100', 24.275120562457158)	('>500', 8.970801513952127)	('>1k', 8.685712661504812)	('>5k', 0.27616704740625975)	('>10k+', 0.10514589882786314)
