Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	(50, 69463.0)	(55, 75142.0)	(60, 90214.0)	(65, 112940.0)	(70, 150386.0)	(75, 213454.0)	(80, 296248.0)	(85, 422065.0)	(90, 557339.0)	(95, 728494.0)	(100, 846891.0)	(105, 1032874.0)	(110, 1067482.0)	(115, 1193763.0)	(120, 1117808.0)	(125, 1206167.0)	(130, 1058571.0)	(135, 1108708.0)	(140, 954857.0)	(145, 2309981.0)	(150, 10664655.0)
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	(50, 103048.0)	(55, 105819.0)	(60, 118362.0)	(65, 138995.0)	(70, 184357.0)	(75, 236436.0)	(80, 327134.0)	(85, 456885.0)	(90, 589063.0)	(95, 760494.0)	(100, 880572.0)	(105, 1056197.0)	(110, 1094683.0)	(115, 1210663.0)	(120, 1129661.0)	(125, 1219242.0)	(130, 1074053.0)	(135, 1124201.0)	(140, 968638.0)	(145, 2289172.0)	(150, 10209827.0)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	(50, 60578.0)	(55, 62097.0)	(60, 68467.0)	(65, 83043.0)	(70, 101823.0)	(75, 145022.0)	(80, 197021.0)	(85, 288194.0)	(90, 397175.0)	(95, 546871.0)	(100, 670880.0)	(105, 840746.0)	(110, 920113.0)	(115, 1030077.0)	(120, 1001403.0)	(125, 1073349.0)	(130, 982923.0)	(135, 1016040.0)	(140, 909931.0)	(145, 2384199.0)	(150, 11734013.0)
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	(50, 89003.0)	(55, 88899.0)	(60, 93374.0)	(65, 105346.0)	(70, 130953.0)	(75, 161842.0)	(80, 220938.0)	(85, 317219.0)	(90, 425296.0)	(95, 575259.0)	(100, 700395.0)	(105, 866128.0)	(110, 948203.0)	(115, 1050924.0)	(120, 1018888.0)	(125, 1091059.0)	(130, 1002985.0)	(135, 1036466.0)	(140, 929853.0)	(145, 2346534.0)	(150, 11314401.0)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	(50, 66395.0)	(55, 69819.0)	(60, 83728.0)	(65, 102254.0)	(70, 134051.0)	(75, 186310.0)	(80, 254482.0)	(85, 360543.0)	(90, 482131.0)	(95, 638497.0)	(100, 754917.0)	(105, 926518.0)	(110, 973461.0)	(115, 1083611.0)	(120, 1028852.0)	(125, 1099935.0)	(130, 982442.0)	(135, 1023300.0)	(140, 896914.0)	(145, 2390708.0)	(150, 11892174.0)
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	(50, 103499.0)	(55, 106019.0)	(60, 116435.0)	(65, 134655.0)	(70, 170642.0)	(75, 211134.0)	(80, 285678.0)	(85, 396650.0)	(90, 517423.0)	(95, 673750.0)	(100, 792825.0)	(105, 955903.0)	(110, 1009294.0)	(115, 1108420.0)	(120, 1051561.0)	(125, 1122281.0)	(130, 1007622.0)	(135, 1047105.0)	(140, 919886.0)	(145, 2367903.0)	(150, 11332357.0)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	(50, 80933.0)	(55, 83513.0)	(60, 95866.0)	(65, 112382.0)	(70, 141419.0)	(75, 193856.0)	(80, 255858.0)	(85, 362043.0)	(90, 478030.0)	(95, 636519.0)	(100, 751404.0)	(105, 917061.0)	(110, 975335.0)	(115, 1089392.0)	(120, 1042237.0)	(125, 1116673.0)	(130, 1019366.0)	(135, 1055865.0)	(140, 943403.0)	(145, 2655769.0)	(150, 13434063.0)
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	(50, 85795.0)	(55, 90022.0)	(60, 100061.0)	(65, 118411.0)	(70, 153783.0)	(75, 195647.0)	(80, 263222.0)	(85, 374197.0)	(90, 489968.0)	(95, 647446.0)	(100, 764691.0)	(105, 931047.0)	(110, 991770.0)	(115, 1101498.0)	(120, 1049025.0)	(125, 1126473.0)	(130, 1032286.0)	(135, 1071159.0)	(140, 963198.0)	(145, 2614233.0)	(150, 13277055.0)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	(50, 67784.0)	(55, 72112.0)	(60, 84092.0)	(65, 103012.0)	(70, 128505.0)	(75, 181141.0)	(80, 245137.0)	(85, 346218.0)	(90, 461071.0)	(95, 607819.0)	(100, 719469.0)	(105, 871686.0)	(110, 929936.0)	(115, 1012134.0)	(120, 980202.0)	(125, 1041729.0)	(130, 946781.0)	(135, 967562.0)	(140, 863349.0)	(145, 2211928.0)	(150, 10610400.0)
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	(50, 82889.0)	(55, 86014.0)	(60, 95907.0)	(65, 113435.0)	(70, 145851.0)	(75, 188521.0)	(80, 256066.0)	(85, 362852.0)	(90, 479177.0)	(95, 625878.0)	(100, 738859.0)	(105, 887804.0)	(110, 951216.0)	(115, 1029319.0)	(120, 993825.0)	(125, 1057551.0)	(130, 965294.0)	(135, 987444.0)	(140, 884290.0)	(145, 2198451.0)	(150, 10321424.0)
