Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25277502.0	3.3 Gbp	0.0	50-151	54.0	23.310890546533376	132.6910736274494	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25277502.0	3.3 Gbp	0.0	50-151	54.0	26.271795010710868	131.55300776951773	142	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24513965.0	3.3 Gbp	0.0	50-151	54.0	24.306044446894557	135.70738258784328	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24513965.0	3.2 Gbp	0.0	50-151	54.0	26.86738015841102	134.6604369794931	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25431042.0	3.4 Gbp	0.0	50-151	53.0	24.66188530219006	134.6207636714217	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25431042.0	3.3 Gbp	0.0	50-151	53.0	27.455528442458434	133.3074420230205	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27440987.0	3.7 Gbp	0.0	50-151	54.0	27.148435121577595	135.50170137830685	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27440987.0	3.7 Gbp	0.0	50-151	54.0	27.94374436406289	135.1779042787346	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23452067.0	3.1 Gbp	0.0	50-151	53.0	23.993640502842172	134.02287691741628	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23452067.0	3.1 Gbp	0.0	50-151	53.0	25.820690224006686	133.37812419689914	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired	MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22609053.0	3 Gbp	0.0	50-151	53.0	27.78818388601773	133.7390004349143	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired	MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22609053.0	3 Gbp	0.0	50-151	53.0	29.903565118008846	132.866471408599	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21954324.0	2.9 Gbp	0.0	50-151	52.0	26.474907880868713	135.2572326071165	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21954324.0	2.9 Gbp	0.0	50-151	52.0	28.440716234543963	134.34430916661339	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24941222.0	3.3 Gbp	0.0	50-151	54.0	23.21075627398112	134.452906277006	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24941222.0	3.3 Gbp	0.0	50-151	54.0	24.279501054346504	133.5411775734164	147	pass	fail	pass	pass	fail	fail	pass	warn	fail	pass	pass
