Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R1_paired	76.68910945346663	54.0	132.6910736274494	147	36.36363636363637	25.277502
MSD-1-RNASeq030-Ilmn-mRNA_S1_L001_R2_paired	73.72820498928914	54.0	131.55300776951773	142	36.36363636363637	25.277502
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R1_paired	75.69395555310544	54.0	135.70738258784328	147	36.36363636363637	24.513965
MSD-10-RNASeq030-Ilmn-mRNA_S10_L001_R2_paired	73.13261984158898	54.0	134.6604369794931	147	36.36363636363637	24.513965
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R1_paired	75.33811469780994	53.0	134.6207636714217	147	36.36363636363637	25.431041999999998
MSD-11-RNASeq030-Ilmn-mRNA_S11_L001_R2_paired	72.54447155754157	53.0	133.3074420230205	147	36.36363636363637	25.431041999999998
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R1_paired	72.85156487842241	54.0	135.50170137830685	147	36.36363636363637	27.440987
MSD-12-RNASeq030-Ilmn-mRNA_S12_L001_R2_paired	72.0562556359371	54.0	135.1779042787346	147	36.36363636363637	27.440987
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R1_paired	76.00635949715783	53.0	134.02287691741628	147	36.36363636363637	23.452067
MSD-13-RNASeq030-Ilmn-mRNA_S13_L001_R2_paired	74.17930977599332	53.0	133.37812419689914	147	36.36363636363637	23.452067
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R1_paired	72.21181611398227	53.0	133.7390004349143	147	36.36363636363637	22.609053
MSD-14-RNASeq030-Ilmn-mRNA_S14_L001_R2_paired	70.09643488199116	53.0	132.866471408599	147	36.36363636363637	22.609053
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R1_paired	73.52509211913129	52.0	135.2572326071165	147	36.36363636363637	21.954324
MSD-15-RNASeq030-Ilmn-mRNA_S15_L001_R2_paired	71.55928376545603	52.0	134.34430916661339	147	36.36363636363637	21.954324
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R1_paired	76.78924372601888	54.0	134.452906277006	147	36.36363636363637	24.941222
MSD-16-RNASeq030-Ilmn-mRNA_S16_L001_R2_paired	75.7204989456535	54.0	133.5411775734164	147	36.36363636363637	24.941222
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R1_paired	73.35971460562634	53.0	127.67781228313633	137	36.36363636363637	18.208444
MSD-17-RNASeq030-Ilmn-mRNA_S17_L001_R2_paired	75.00770116181543	53.0	129.74994908955426	137	27.27272727272727	18.208444
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R1_paired	76.70444971435336	53.0	124.13769581531467	127	36.36363636363637	17.992464
MSD-18-RNASeq030-Ilmn-mRNA_S18_L001_R2_paired	73.63808587816966	54.0	123.69010531297992	127	27.27272727272727	17.992464
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R1_paired	74.47283111468548	54.0	136.56832432006559	147	36.36363636363637	24.725032
MSD-2-RNASeq030-Ilmn-mRNA_S2_L001_R2_paired	72.03141910570712	54.0	135.39699604837722	147	36.36363636363637	24.725032
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R1_paired	77.76604389290631	54.0	130.1335945743813	142	36.36363636363637	22.550055
MSD-3-RNASeq030-Ilmn-mRNA_S3_L001_R2_paired	74.45890606062267	55.0	129.02423741316818	137	36.36363636363637	22.550055
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R1_paired	74.5162303973556	54.0	133.28352073358172	147	36.36363636363637	21.521583
MSD-4-RNASeq030-Ilmn-mRNA_S4_L001_R2_paired	71.78951524290335	54.0	131.89221708273038	147	36.36363636363637	21.521583
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R1_paired	74.15850314972181	54.0	132.28674365589265	147	36.36363636363637	21.669006
MSD-5-RNASeq030-Ilmn-mRNA_S5_L001_R2_paired	71.46124004350938	54.0	131.27348042637487	142	36.36363636363637	21.669006
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R1_paired	80.33684453531266	55.0	128.07224750601685	137	36.36363636363637	17.207113
MSD-6-RNASeq030-Ilmn-mRNA_S6_L001_R2_paired	76.95015946871689	55.0	127.26064691967792	137	36.36363636363637	17.207113
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R1_paired	75.98642914203563	53.0	132.77115025944022	147	36.36363636363637	21.900807
MSD-7-RNASeq030-Ilmn-mRNA_S7_L001_R2_paired	73.41797009459171	53.0	131.6943662395637	147	36.36363636363637	21.900807
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R1_paired	73.58911245513363	53.0	132.87922819324862	147	36.36363636363637	21.478589
MSD-8-RNASeq030-Ilmn-mRNA_S8_L001_R2_paired	75.58025862077372	53.0	134.2328435075507	147	36.36363636363637	21.478589
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R1_paired	74.56531354771374	52.0	137.36156907060533	151	36.36363636363637	18.52141
MSD-9-RNASeq030-Ilmn-mRNA_S9_L001_R2_paired	73.09027856719955	52.0	136.45299105197714	151	36.36363636363637	18.52141
