gene;CON_1;CON_2;CON_3;CON_4;CON_5;CON_6;CON_7;CON_8;CON_9;BET_1;BET_2;BET_3;BET_4;BET_5;BET_6;BET_7;BET_8;BET_9
ENSSSCG00000028996;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0
ENSSSCG00000005267;0;0;1;1;0;0;1;1;0;0;1;0;0;0;2;1;0;0
ENSSSCG00000005268;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
ENSSSCG00000005269;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000031382;1;0;0;4;1;2;0;1;1;0;0;0;2;1;0;0;2;2
ENSSSCG00000005271;0;0;2;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1
ENSSSCG00000005272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005273;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
ENSSSCG00000045514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000023520;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
ENSSSCG00000057774;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
ENSSSCG00000037277;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
ENSSSCG00000005277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000039009;1;0;2;2;2;0;3;0;1;2;5;0;1;1;0;0;0;0
ENSSSCG00000060679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004361;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
ENSSSCG00000004349;4;4;3;3;3;0;1;3;1;0;0;0;2;0;0;2;0;1
ENSSSCG00000004272;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ENSSSCG00000037594;15;7;13;9;16;14;7;16;11;11;10;17;5;7;6;9;10;1
ENSSSCG00000044472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004261;3;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
ENSSSCG00000050732;6;17;13;16;11;15;8;7;4;5;15;2;9;8;3;5;11;8
ENSSSCG00000004351;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
ENSSSCG00000004262;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000038757;0;0;1;0;0;0;0;0;1;5;0;0;0;3;0;0;0;0
ENSSSCG00000004353;3;2;12;6;7;6;6;0;5;9;1;8;3;8;2;3;0;2
ENSSSCG00000005284;2;0;0;0;0;2;0;0;1;0;3;0;0;0;2;0;0;0
ENSSSCG00000050902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000021802;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000031105;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000034919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000023834;2;3;1;4;3;0;4;1;3;1;1;3;1;0;4;0;0;0
ENSSSCG00000032533;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0
ENSSSCG00000031854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000025941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000030268;17;29;35;9;13;6;4;1;7;10;10;14;16;7;4;6;11;5
ENSSSCG00000027002;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ENSSSCG00000004243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004246;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
ENSSSCG00000004247;3;7;3;9;1;2;2;5;1;0;2;2;0;2;0;0;1;0
ENSSSCG00000004249;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1
ENSSSCG00000005288;0;0;3;4;1;1;0;0;0;1;0;0;2;0;0;0;0;0
ENSSSCG00000035934;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0
ENSSSCG00000044405;5;5;3;0;0;2;9;1;1;0;3;3;0;2;0;1;0;1
ENSSSCG00000062089;2;0;1;0;0;1;4;0;0;2;0;0;0;0;0;0;0;0
ENSSSCG00000005036;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005037;0;0;4;6;0;0;0;0;0;0;0;0;1;0;0;0;1;0
ENSSSCG00000004242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000035799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
ENSSSCG00000044458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005291;1;2;7;6;2;2;0;1;3;2;4;1;0;2;0;0;5;2
ENSSSCG00000005038;0;0;2;0;1;0;0;0;3;1;0;0;2;0;0;1;0;0
ENSSSCG00000028308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000033805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000037497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000033763;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
ENSSSCG00000004344;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
ENSSSCG00000004274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005039;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
ENSSSCG00000005040;30;39;32;52;35;41;47;9;32;36;28;32;19;19;14;25;43;29
ENSSSCG00000004250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
ENSSSCG00000005287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005041;1;4;4;1;0;0;1;1;2;2;2;1;1;2;1;0;0;0
ENSSSCG00000020885;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
ENSSSCG00000058846;0;2;1;1;0;0;0;1;0;1;2;0;0;1;1;2;3;0
ENSSSCG00000004252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000043640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004253;2;1;3;1;1;2;1;2;0;1;1;0;4;0;0;0;3;0
ENSSSCG00000044537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000056780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000051979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000041232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000051842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000054867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000056863;1;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000060009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000054241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000053090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000054181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000062298;0;0;0;2;0;0;0;0;1;0;0;0;0;0;4;1;0;4
ENSSSCG00000049009;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
ENSSSCG00000062781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ENSSSCG00000044318;0;1;2;8;0;0;1;0;1;1;5;0;0;0;0;0;2;0
ENSSSCG00000044799;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1
ENSSSCG00000044702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000063502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000058465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000057281;0;0;1;5;4;1;0;0;0;0;0;0;0;0;0;0;1;0
ENSSSCG00000053750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000062448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000051943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000059191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004364;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ENSSSCG00000055927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000041713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000061344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005043;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000057315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000053831;2;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
ENSSSCG00000052615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000043786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004254;2;5;12;0;13;5;12;7;1;6;4;2;12;6;0;3;1;4
ENSSSCG00000059238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000043441;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000055465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000052069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000061420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000063145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000057344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000063291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000054831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000055999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000061404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000053722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000060841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000061657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000055736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000053577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000055350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000057019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000046602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000026978;0;0;2;3;0;1;1;5;0;0;3;1;0;0;1;1;0;2
ENSSSCG00000053295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005045;3;1;0;1;0;0;1;3;2;0;0;2;1;0;3;1;1;0
ENSSSCG00000057291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000062661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000058160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000062380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005047;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000019939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000018266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000037612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000052732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004366;2;3;4;0;0;1;0;3;0;2;2;0;0;0;0;5;5;0
ENSSSCG00000027256;8;7;18;12;14;17;11;11;4;10;12;8;12;10;16;24;11;6
ENSSSCG00000045461;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0
ENSSSCG00000004255;15;48;28;19;27;22;5;18;6;7;19;17;19;25;11;20;28;13
ENSSSCG00000004367;1;4;2;2;1;0;4;1;4;4;0;2;7;2;3;5;2;1
ENSSSCG00000039333;1;3;7;4;2;9;1;3;3;0;2;0;3;10;4;6;0;0
ENSSSCG00000004368;9;3;10;8;9;2;1;1;10;8;15;19;11;2;3;8;5;3
ENSSSCG00000026294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000053030;0;1;0;0;0;0;0;0;0;0;1;0;0;1;7;0;0;0
ENSSSCG00000035648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000038522;2;0;0;0;0;0;0;2;2;0;1;0;0;0;1;0;1;0
ENSSSCG00000035259;7;3;9;12;5;2;1;0;0;3;8;5;3;14;1;5;3;4
ENSSSCG00000021451;2;0;2;3;2;3;2;2;0;1;2;0;0;1;0;1;0;0
ENSSSCG00000038507;123;105;149;81;51;47;39;46;73;113;59;101;43;60;106;75;81;22
ENSSSCG00000042849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004339;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
ENSSSCG00000005004;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1
ENSSSCG00000004244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004347;3;3;0;0;0;0;0;1;0;0;0;1;0;1;0;3;0;0
ENSSSCG00000004357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005006;36;25;44;31;49;33;13;24;19;29;39;21;19;61;11;32;33;12
ENSSSCG00000004275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000035611;2;2;0;0;3;0;0;2;0;0;5;3;0;1;0;0;0;0
ENSSSCG00000058931;21;9;12;5;7;4;6;5;4;9;4;4;9;18;1;6;10;0
ENSSSCG00000005008;1;0;3;0;0;0;2;2;2;1;0;2;0;0;0;0;0;0
ENSSSCG00000004358;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ENSSSCG00000004270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000032489;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000061940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ENSSSCG00000055064;0;4;2;1;3;0;3;1;1;1;4;1;2;5;0;3;1;0
ENSSSCG00000058693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005009;36;51;42;40;32;47;34;23;19;49;43;19;22;31;10;41;57;33
ENSSSCG00000043582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000062347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000063225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000059734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000035240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000061474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000005011;100;191;127;148;128;193;118;56;86;163;125;53;77;102;34;115;149;160
ENSSSCG00000032312;0;3;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;1
ENSSSCG00000052772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000062778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000004342;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000062667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000057815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000054004;0;0;4;0;0;1;2;0;5;0;0;0;2;0;3;0;0;0
ENSSSCG00000056940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
ENSSSCG00000056101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSSSCG00000060433;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;3;0
